Pre,Rec,Acc,F1
0.48201438848920863,0.22333333333333333,0.49166666666666664,0.30523917995444194
0.48226950354609927,0.22666666666666666,0.49166666666666664,0.30839002267573695
0.48226950354609927,0.22666666666666666,0.49166666666666664,0.30839002267573695
0.4855072463768116,0.22333333333333333,0.49333333333333335,0.30593607305936077
0.48148148148148145,0.21666666666666667,0.49166666666666664,0.29885057471264365
0.48936170212765956,0.23,0.495,0.3129251700680272
0.4962962962962963,0.22333333333333333,0.49833333333333335,0.3080459770114942
0.48226950354609927,0.22666666666666666,0.49166666666666664,0.30839002267573695
0.48226950354609927,0.22666666666666666,0.49166666666666664,0.30839002267573695
0.49645390070921985,0.23333333333333334,0.49833333333333335,0.31746031746031744
0.47058823529411764,0.21333333333333335,0.4866666666666667,0.29357798165137616
0.48201438848920863,0.22333333333333333,0.49166666666666664,0.30523917995444194
